SI_max,Arrival_Rate,Time,Transient_Response_Time_Mean,Transient_Response_Time_Variance,Transient_Response_Time_CI95
10,1,5000.0,0.22018249710520185,0.00036159795820997075,0.0037842793594970907
10,2,0.0,0.0,0.0,0.0
10,2,100.0,0.3026147815492586,0.023945858373311528,0.030329920792332047
10,2,200.0,0.31256389866407114,0.01868928800143309,0.026794919068044477
10,2,300.0,0.3125913566953246,0.011576184817320864,0.021088165305265378
10,2,400.0,0.3068872044606012,0.007414705606194462,0.016877302230142305
10,2,500.0,0.3102999140970659,0.005806186614659945,0.014934874120285595
10,2,600.0,0.3082566800043348,0.004525968063929674,0.01318596182096408
10,2,700.0,0.30823996435611173,0.003996727226439729,0.012391056174955735
10,2,800.0,0.31175354585460074,0.0032562760015791585,0.011184502620888643
10,2,900.0,0.3104854315973806,0.0025525617747346164,0.009902485200100277
10,2,1000.0,0.3094614629770325,0.00247288460024985,0.009746708921641102
10,2,1100.0,0.3095828774953171,0.0024281397222523336,0.009658126918302826
10,2,1200.0,0.3099988409188801,0.002300139152191889,0.009400114130722222
10,2,1300.0,0.3111091356903917,0.0025590522107574783,0.009915066804034115
10,2,1400.0,0.3123995022665089,0.002408491290717252,0.009618970912950822
10,2,1500.0,0.3114203733948948,0.002141569755322615,0.009070311114866655
10,2,1600.0,0.3119067030857097,0.002070009489797929,0.008917481962980204
10,2,1700.0,0.3130982880172114,0.0021005847104323475,0.008983098698999641
10,2,1800.0,0.31376838820742636,0.0018580510212322882,0.008448602726585005
10,2,1900.0,0.31331019895733364,0.0016834736434540032,0.008041910437634144
10,2,2000.0,0.3151158171987909,0.0015400733093046807,0.007691778484216027
10,2,2100.0,0.3139980983467117,0.0015043004423416434,0.0076019211909225
10,2,2200.0,0.31288125318878834,0.0013950407908510595,0.007320647991901694
10,2,2300.0,0.3138117385179549,0.001454512152017773,0.007475061125630664
10,2,2400.0,0.31422706754810315,0.0014208712646872792,0.007388111430144142
10,2,2500.0,0.31498205354770226,0.0014083397794508454,0.007355459262845772
10,2,2600.0,0.31437864814822325,0.001350945657467764,0.007204021680789253
10,2,2700.0,0.3149792890795203,0.0013179775231047072,0.0071155761908358785
10,2,2800.0,0.3149612491725745,0.0011977291885179216,0.00678321196087108
10,2,2900.0,0.3160675459698861,0.0012237073902993702,0.0068563797375685515
10,2,3000.0,0.316146391173467,0.001156267679786209,0.006664771502959949
10,2,3100.0,0.3157093771656673,0.0010895047770005974,0.00646949886105987
10,2,3200.0,0.3152735690719141,0.0009998299142728842,0.006197537090385754
10,2,3300.0,0.3154744226091593,0.0009840431518894617,0.006148414569869663
10,2,3400.0,0.31499863083281543,0.0009086482053818531,0.005908183262048433
