Seed,SI_max,Arrival_Rate,Time,Transient_Response_Time_Mean,Transient_Response_Time_Variance,Transient_Response_Time_CI95
11,80,6.66,2400.0,6.617188381734435,0.0,0.0
11,80,6.66,2500.0,6.698416953529096,0.0,0.0
11,80,6.66,2600.0,6.781915213685009,0.0,0.0
11,80,6.66,2700.0,6.878235869061239,0.0,0.0
11,80,6.66,2800.0,6.962352348705298,0.0,0.0
11,80,6.66,2900.0,7.033476469570456,0.0,0.0
11,80,6.66,3000.0,7.044745953163724,0.0,0.0
11,80,6.66,3100.0,7.088481703977258,0.0,0.0
11,80,6.66,3200.0,7.104023569508819,0.0,0.0
11,80,6.66,3300.0,7.141853390460923,0.0,0.0
11,80,6.66,3400.0,7.164491460957415,0.0,0.0
11,80,6.66,3500.0,7.097512631610704,0.0,0.0
11,80,6.66,3600.0,7.04286952982951,0.0,0.0
11,80,6.66,3700.0,6.972784396103332,0.0,0.0
11,80,6.66,3800.0,6.975525357340416,0.0,0.0
11,80,6.66,3900.0,7.007624462995969,0.0,0.0
11,80,6.66,4000.0,7.0171701381152705,0.0,0.0
11,80,6.66,4100.0,6.999026461081431,0.0,0.0
11,80,6.66,4200.0,6.997603815293412,0.0,0.0
11,80,6.66,4300.0,7.028217408111914,0.0,0.0
11,80,6.66,4400.0,7.0238743834493045,0.0,0.0
11,80,6.66,4500.0,7.040132505376129,0.0,0.0
11,80,6.66,4600.0,7.09004199526672,0.0,0.0
11,80,6.66,4700.0,7.115266659191926,0.0,0.0
11,80,6.66,4800.0,7.053966793376213,0.0,0.0
11,80,6.66,4900.0,7.009784334858946,0.0,0.0
11,80,6.66,5000.0,7.020499583386826,0.0,0.0
11,120,6.66,0.0,0.0,0.0,0.0
11,120,6.66,100.0,1.1182642338315762,0.0,0.0
11,120,6.66,200.0,1.4639366354869938,0.0,0.0
11,120,6.66,300.0,1.535526564603096,0.0,0.0
11,120,6.66,400.0,1.5181514637176894,0.0,0.0
11,120,6.66,500.0,1.6753056658093228,0.0,0.0
11,120,6.66,600.0,2.1243109934481774,0.0,0.0
11,120,6.66,700.0,2.4436461318230176,0.0,0.0
11,120,6.66,800.0,3.1079279718696164,0.0,0.0
11,120,6.66,900.0,3.69047420376009,0.0,0.0
11,120,6.66,1000.0,4.526777395053912,0.0,0.0
11,120,6.66,1100.0,5.202256189655225,0.0,0.0
11,120,6.66,1200.0,5.842315766251768,0.0,0.0
11,120,6.66,1300.0,6.325098872286368,0.0,0.0
11,120,6.66,1400.0,6.679002389854119,0.0,0.0
11,120,6.66,1500.0,7.169796128993114,0.0,0.0
11,120,6.66,1600.0,7.511624434027548,0.0,0.0
11,120,6.66,1700.0,7.800837385454695,0.0,0.0
