Time,Arrival Rate,Transient Response Time Mean,Transient Response Time CI95
1200.0,3,0.4822368320443612,0.0206903142669868
1300.0,3,0.4829954014967413,0.0190641095945915
1400.0,3,0.4813341930409883,0.0179099267972336
1500.0,3,0.4803201587807561,0.0169720758462219
1600.0,3,0.4824329970168654,0.0167385294251769
1700.0,3,0.4847311299578059,0.0160232951906617
1800.0,3,0.4829481431398735,0.015439715315583
1900.0,3,0.4856442290057285,0.015633539681455
2000.0,3,0.4885571605186425,0.0173105677448979
2100.0,3,0.4900866705658305,0.0167488913646756
2200.0,3,0.4909680241105101,0.0162869698759038
2300.0,3,0.4915717990967353,0.0156709067410375
2400.0,3,0.489964430414838,0.015444302455505
2500.0,3,0.4914019723538754,0.0159631545407385
2600.0,3,0.4904490322696052,0.0155741173324842
2700.0,3,0.489922872385066,0.0154565788029017
2800.0,3,0.4893958647687499,0.0153258262059524
2900.0,3,0.489140062924753,0.0145143774492429
3000.0,3,0.4903095433687186,0.0142456817682059
3100.0,3,0.4900591396507045,0.0141133316362566
3200.0,3,0.4892963747317121,0.0138282944921102
3300.0,3,0.4891532910230006,0.0134264071794928
3400.0,3,0.4887439374370239,0.013205116824668
3500.0,3,0.4899953573590053,0.0129551995212718
3600.0,3,0.4894855993167797,0.0126876529544425
3700.0,3,0.4896572187170925,0.0124560769289714
3800.0,3,0.4902521917993537,0.0120324533798518
3900.0,3,0.4900677807200126,0.0118182663584847
4000.0,3,0.4896674307702803,0.0114252090173884
4100.0,3,0.4879933281640201,0.0111956580914901
4200.0,3,0.4886400663111877,0.0111366459229911
4300.0,3,0.487953245420973,0.0108023869650896
4400.0,3,0.4882212150715478,0.0107517848887159
4500.0,3,0.4885081305281065,0.010702526212404
4600.0,3,0.488332689559627,0.0107219454722237
4700.0,3,0.4882429907289294,0.0104469137016754
4800.0,3,0.4885129000127725,0.0104202062791407
4900.0,3,0.4888392023730316,0.0102992051597653
5000.0,3,0.4872098670978791,0.0105600825140835
0.0,4,0.0,0.0
100.0,4,0.716026597907292,0.0841838008487643
200.0,4,0.7731228000291853,0.0788876469407083
300.0,4,0.7813636983766977,0.0635833441083721
400.0,4,0.7899996429246677,0.0552409030401887
500.0,4,0.7917726620759602,0.0483734200076458
600.0,4,0.8010515829495997,0.0514381356719285
700.0,4,0.8111359759808323,0.057262403993911
800.0,4,0.8119405359321522,0.0560284661956375
900.0,4,0.8091339897971361,0.0528814188655949
1000.0,4,0.8098427794863781,0.0485394566554321
1100.0,4,0.8088915546928783,0.0458707030243663
1200.0,4,0.8075821035524479,0.0431456984511645
1300.0,4,0.8103416252992343,0.0410869910908337
1400.0,4,0.8128406514343677,0.0403437844288635
1500.0,4,0.8180284007080897,0.0400027507342679
1600.0,4,0.8172762210916124,0.0376591808284854
1700.0,4,0.8203626109923242,0.0370173689167246
1800.0,4,0.8191025285395397,0.0355004060417512
1900.0,4,0.8170816305012509,0.0336388961434586
2000.0,4,0.813922092507434,0.0317119250686041
2100.0,4,0.8138164640490124,0.0310306421600708
2200.0,4,0.8156480882118093,0.0295130307198896
2300.0,4,0.8171622290798595,0.0287171898489324
2400.0,4,0.8175313420450768,0.028069336623357
2500.0,4,0.8158366180714216,0.0270632307256734
2600.0,4,0.8169461356243212,0.0261218897581481
2700.0,4,0.8188927814742621,0.025943965217424
2800.0,4,0.8182238807625241,0.0253611387595331
2900.0,4,0.8177868268564886,0.0248411614558339
3000.0,4,0.8164940842458073,0.0238915296816763
3100.0,4,0.8144713526610913,0.0231053619938073
3200.0,4,0.8112548476178345,0.0222332615888424
3300.0,4,0.8114893785397578,0.021523258680414
3400.0,4,0.8145695352792258,0.0214025030304107
3500.0,4,0.8149152129622678,0.0214898630732149
3600.0,4,0.8168371039628509,0.0216446218741311
3700.0,4,0.8189872380060664,0.0221354119340219
3800.0,4,0.818941834887233,0.0224586190094214
3900.0,4,0.8184962632209555,0.022030057600212
4000.0,4,0.8213757962735377,0.0215176022387567
4100.0,4,0.8230966212069832,0.0216644581086907
4200.0,4,0.8243986936886945,0.0214170774625316
4300.0,4,0.8239743067937015,0.0211732828726558
4400.0,4,0.8248826464920114,0.0210343341761273
4500.0,4,0.8255262049976247,0.0206646721959615
4600.0,4,0.826537395887945,0.0206002310006468
4700.0,4,0.8275746740605789,0.0204965273839423
4800.0,4,0.8278211348288329,0.0201193034323115
4900.0,4,0.8298699282613342,0.0193307161991958
5000.0,4,0.8353499252787353,0.0201240225248936
0.0,5,0.0,0.0
100.0,5,1.135394152804321,0.1364939745058436
200.0,5,1.3628444622737208,0.1518967400839698
300.0,5,1.4405073282235004,0.1551684848924915
400.0,5,1.4797836388241503,0.1403439267408928
